계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
고급 지구과학,전문교과Ⅰ,"주변 현상과 시공간적으로 밀접하게 관련된 지구와 우주에 관한 현상에 대한 기본개념을 바탕으로 관심 있는 주제에 대하여 과학적 탐구를 직간접적으로 체험함으로써 학문적 전공선택을 용이하게 하고, 각자 앞으로의 연구 분야에서 지구 과학의 심화된 개념과 탐구 능력을 충분히 활용할 수 있도록 자기주도적인 탐구 활동을 통하여 창의적 문제 해결력과 과학적 태도를 함양하기 위한 과목이다."
물리학 실험,전문교과Ⅰ,‘물리학Ⅰ’ 또는 ‘물리학Ⅱ’를 이수한 학생들이 심화된 수준으로 물리학 실험 탐구를 해 봄으로써 이공계로 진학하였을 때 필요한 실험 및 탐구 역량을 기르기 위한 과목이다.
화학 실험,전문교과Ⅰ,심화된 화학 실험의 원리와 기능을 익혀 물질 현상을 체계적으로 탐구함으로써 화학 개념의 심도 있는 이해를 도모하고 장차 자연 과학과 공학 분야에서 물질에 대한 탐구를 과학적으로 수행하는 능력을 기르기 위한 과목이다.
생명과학 실험,전문교과Ⅰ,"최신의 생명과학을 접하고, 더욱 전문적인 생명과학 개념을 분자적 수준에서 통합적으로 이해하며, 관심 있는 생명과학의 주제에 대해 과학적으로 탐구하는 능력을 길러 앞으로의 연구 분야에 생명과학의 지식을 활용할 수 있도록 준비하는 과목이다."
지구과학 실험,전문교과Ⅰ,"주변 현상과 시공간적으로 밀접하게 관련된 지구와 우주에 관한 현상에 대한 기본 개념을 바탕으로 관심 있는 주제에 대하여 과학적 탐구를 직간접적으로 체험함으로써 학문적 전공 선택을 용이하게 하고, 각자 앞으로의 연구 분야에서 지구 과학의 심화된 개념과 탐구 능력을 충분히 활용할 수 있도록 자기주도적인 탐구 활동을 통하여 창의적 문제 해결력과 과학적 태도를 함양하기 위한 과목이다."
융합과학 탐구,전문교과Ⅰ,토론과 조사를 거쳐 융합과학 소재의 과제를 선정하여 실험 실습을 수행하고 결론을 도출하여 보고서를 작성하는 일련의 연구 과정을 경험함으로써 과학자 혹은 일반 시민으로써 갖추어야 할 창의성과 문제 해결 능력을 기르기 위한 과목이다.
과학과제 연구,전문교과Ⅰ,"과학 계열 고등학교 학생 또는 일반 고등학교에서 과학 과목 중점 교육 과정을 이수하는 학생을 대상으로 하여, 토론과 조사를 거쳐 특정 과학 과제를 선정하여 실험 실습을 수행하고 결론을 도출하여 보고서를 작성하는 일련의 연구 과정을 통해 과학자가 갖추어야 할 연구 수행 능력을 기르기 위한 과목이다."
생태와 환경,전문교과Ⅰ,생태와 환경에 관심이 있는 학생을 대상으로 하는 미래의 과학 인재들의 생태와 환경에 대한 과학적 소양을 함양하여 개인적인 실천뿐만 아니라 진로를 결정하는데 필요한 지식을 제공하는 과목이다.
정보과학,전문교과Ⅰ,컴퓨터과학의 기본 개념과 원리 및 기술을 바탕으로 창의적이고 효율적으로 다양한 분야의 문제를 해결하는 역량을 기르기 위한 과목이다. 
국제 정치,전문교과Ⅰ,"국제 관계의 협력과 경쟁을 이해하고, 바람직한 국제 질서를 창출할 수 있는 기본적 지식과 국제 시민 사회에 알맞은 시민적 태도를 함양하는 과목이다."
국제 경제,전문교과Ⅰ,끊임없이 변화하는 국내외 경제 환경에 능동적으로 대처할 수 있는 경제적 사고력과 문제 해결 능력을 키우는 과목이다.
국제법,전문교과Ⅰ,"국제법의 체계와 내용, 특징을 이해하고 국제 사회 주체들의 다양한 갈등 사례들을 법적 관점에서 분석하고 해결할 수 있는 세계 시민으로서의 자질을 함양하기 위한 과목이다."
지역 이해,전문교과Ⅰ,각 지역의 다양한 환경에 적응하고 상호 작용하는 인간과 인간의 사회생활을 큰 지구적 규모에서 파악하여 자문화 혹은 지역 중심주의에서 벗어나 지역 간의 입장을 상호 이해하기 위한 과목이다.
한국 사회의 이해,전문교과Ⅰ,"현대 한국 사회의 정치와 경제, 사회의 변화 과정과 특징, 한국 고유의 전통문화 등을 연계하여 바르게 이해함으로써, 세계 사회에서 주체적인 한국인으로 활약할 수 있는 국제 전문가를 양성하는 과목이다."
세계 문제와 미래 사회,전문교과Ⅰ,"인류가 직면하고 있는 전 지구적 성격의 문제들에 대한 종합적 이해와 미래 사회에 대한 객관적 전망을 바탕으로 이러한 문제의 해결 방안을 모색하고, 사회 변화에 적절하게 대응할 수 있는 능력을 키우기 위한 과목이다."
국제 관계와 국제기구,전문교과Ⅰ,국제 관계의 구조와 질서의 역동적 관계에 대한 이해를 바탕으로 국제 사회에서 국제기구의 역할에 대해 논리적으로 분석하고 바람직한 국제 관계를 위한 합리적 대안을 모색할 수 있는 능력을 함양하기 위한 과목이다.
현대 세계의 변화,전문교과Ⅰ,"정치, 경제, 사회, 문화 등 다양한 관점에서 현대 세계를 이해하기 위해 필수적으로 요구되는 시대사적 소양을 강조하고, 국제 사회가 형성·발전되어 온 과정을 통해 현대 세계의 모습을 역사적 맥락에서 이해하며 나아가 미래 세계의 발전에 기여할 수 있는 세계 시민성을 함양하기 위한 과목이다."
사회 탐구 방법,전문교과Ⅰ,"인간과 사회 현상에 대한 과학적 탐구 방법의 의미와 특징을 이해하고, 과학적으로 사회탐구를 수행하는 데 필요한 기초 능력을 기르는 과목이다."
사회과제 연구,전문교과Ⅰ,"'국제 정치', '국제법', '국제 경제', '비교 문화', '지역 이해 '과목 등에서 학습한 지식을 토대로 학습자가 연구 문제를 선정하여 소규모 연구를 실제 수행하는 과목이다."
국제 정치,전문교과Ⅰ,"국제 관계의 협력과 경쟁을 이해하고, 바람직한 국제 질서를 창출할 수 있는 기본적 지식과 국제 시민 사회에 알맞은 시민적 태도를 함양하는 과목이다."
국제 경제,전문교과Ⅰ,끊임없이 변화하는 국내외 경제 환경에 능동적으로 대처할 수 있는 경제적 사고력과 문제 해결 능력을 키우는 과목이다.
국제법,전문교과Ⅰ,"국제법의 체계와 내용, 특징을 이해하고 국제 사회 주체들의 다양한 갈등 사례들을 법적 관점에서 분석하고 해결할 수 있는 세계 시민으로서의 자질을 함양하기 위한 과목이다."
지역 이해,전문교과Ⅰ,각 지역의 다양한 환경에 적응하고 상호 작용하는 인간과 인간의 사회생활을 큰 지구적 규모에서 파악하여 자문화 혹은 지역 중심주의에서 벗어나 지역 간의 입장을 상호 이해하기 위한 과목이다.
한국 사회의 이해,전문교과Ⅰ,"현대 한국 사회의 정치와 경제, 사회의 변화 과정과 특징, 한국 고유의 전통문화 등을 연계하여 바르게 이해함으로써, 세계 사회에서 주체적인 한국인으로 활약할 수 있는 국제 전문가를 양성하는 과목이다."
비교문화,전문교과Ⅰ,"다문화 체험과 문화 비교를 통해 각 문화에 대한 객관적 이해, 합리적 비판에 토대를 둔 주체적 수용 태도와 상대주의적 가치관을 함양하고, 공동 번영의 문화 창조자로서 필요한 자세를 갖추도록 하며, 나아가 오늘날 지구촌 공동체 안 에서 조화롭게 살아가는 세계 시민의 자질과 능력을 습득하기 위한 과목이다."
세계 문제와 미래 사회,전문교과Ⅰ,"인류가 직면하고 있는 전 지구적 성격의 문제들에 대한 종합적 이해와 미래 사회에 대한 객관적 전망을 바탕으로 이러한 문제의 해결 방안을 모색하고, 사회 변화에 적절하게 대응할 수 있는 능력을 키우기 위한 과목이다."
국제 관계와 국제기구,전문교과Ⅰ,국제 관계의 구조와 질서의 역동적 관계에 대한 이해를 바탕으로 국제 사회에서 국제기구의 역할에 대해 논리적으로 분석하고 바람직한 국제 관계를 위한 합리적 대안을 모색할 수 있는 능력을 함양하기 위한 과목이다.
현대 세계의 변화,전문교과Ⅰ,"정치, 경제, 사회, 문화 등 다양한 관점에서 현대 세계를 이해하기 위해 필수적으로 요구되는 시대사적 소양을 강조하고, 국제 사회가 형성·발전되어 온 과정을 통해 현대 세계의 모습을 역사적 맥락에서 이해하며 나아가 미래 세계의 발전에 기여할 수 있는 세계 시민성을 함양하기 위한 과목이다."
사회 탐구 방법,전문교과Ⅰ,"인간과 사회 현상에 대한 과학적 탐구 방법의 의미와 특징을 이해하고, 과학적으로 사회탐구를 수행하는 데 필요한 기초 능력을 기르는 과목이다."
사회과제 연구,전문교과Ⅰ,"'국제 정치', '국제법', '국제 경제', '비교 문화', '지역 이해' 과목 등에서 학습한 지식을 토대로 학습자가 연구 문제를 선정하여 소규모 연구를 실제 수행하는 과목이다."
기계 일반,전문교과Ⅱ,"모든 산업의 근간이 되는 기계 공업의 일반적인 특성과 공작 기계 및 기초 이론에 대하여 지식과 기술을 습득시켜, 관련 실무에 활용할 수 있는 능력을 기르기 위한 과목이다."
기계 일반,전문교과Ⅱ,"모든 산업의 근간이 되는 기계 공업의 일반적인 특성과 공작 기계 및 기초 이론에 대하여 지식과 기술을 습득시켜, 관련 실무에 활용할 수 있는 능력을 기르기 위한 과목이다."
자동차 일반,전문교과Ⅱ,"산업에 이용되는 원동기의 원리 및 구조, 자동차 구조 및 자동차 섀시, 자동차 정비에 관한 가장 기초적이며 핵심적인 내용으로 구성된 이론-실습 통합 과목이다."
환경 보전,전문교과Ⅱ,"인간과 환경, 생태계의 구성과 기능, 환경 문제, 농업과 환경 보전, 지속 가능한 사회와 환경 보전 활동 등에 관하여 총론적으로 학습할 수 있도록 구성한 과목이다."
생명 공학 기술,전문교과Ⅱ,"식물 조직 배양, 식물 생명 공학의 이용, 동물 생명 공학의 이용, 미생물 생명 공학의 이용 등의 내용을 학습함으로써 생명 공학 분야에 종사할 수 있는 능력을 배양하기 위한 과목이다."
원예,전문교과Ⅱ,"원예 분야의 기초 과목으로서, 원예의 기초, 원예 작물의 분류, 생육과 환경, 재배 시설, 원예 종묘, 원예 작물을 생산 및 원예 유통 등에 관하여 학습할 수 있도록 구성하여 원예 분야에 종사할 수 있는 능력을 배양하기 위한 총론적 성격의 과목이다. "
동물 자원,전문교과Ⅱ,"동물 자원의 개념과 활용의 중요성을 인식하고, 전반적인 가축 사육 및 관리에 대한 기초적인 지식과 기술을 습득하여 동물 자원 관련 분야의 진로를 탐색하는 과목이다."
반려 동물 관리,전문교과Ⅱ,"‘동물 자원’ 과목을 이수한 학생이 반려견, 관상조, 관상어 등의 일반적인 사양 관리 기술 및 번식, 질병 예방 및 처치 등 반려동물 분야에서 활용할 수 있는 실질적이고 전문적인 기술 및 직업 기초 능력의 종합적인 습득, 그리고 이론과 실습이 이루어질 수 있도록 구성한 과목이다."
해양의 이해,전문교과Ⅱ,"수해양과 인류, 해수의 성질과 운동, 수해양과 생물, 수해양 개발과 자원 이용, 수해양 조사와 자원의 이용, 대기의 성질과 수해양과 기상 등을 폭넓게 학습하여 수산업과 해양 산업을 바르게 이해하는 데 도움을 주기 위한 기초 과목이다."
해양 환경과 자원,전문교과Ⅱ,"인간과 환경, 다른 환경과 해양과의 관계, 해양 환경과 생물, 해양 오염, 해양 환경 보전, 해양 자원 등에 대한 지식과 기술을 습득시켜, 이를 수/해운 산업 현장에서 활용할 수 있는 능력을 기르기 위한 과목이다."
디자인 일반,전문교과Ⅱ,디자이너가 갖추어야 할 기본적인 지식과 기술을 습득하여 급변하는 산업과 다양한 디자인 분야에 적응할 수 있도록 내용이 구성된 이론 중심 과목이다.
컴퓨터 그래픽,전문교과Ⅱ,"그래픽 제작 원리를 익히고, 컴퓨터 그래픽 프로그램을 이용하여 단일 이미지와 동적인 이미지를 표현하여 디지털 인터페이스 디자인 등 디자인 실무에 적용할 수 있는 방법을 익힐 수 있도록 구성된 이론-실습 통합 과목이다."
음악 콘텐츠 제작,전문교과Ⅱ,"음반 판매를 목적으로 음반 콘텐츠를 기획하고 제작하여 음악 콘텐츠를 활용할 수 있는 능력을 기를 수 있도록 내용이 구성되었으며, 기초 과목인 ‘미디어 콘텐츠 일반’ 과목을 선이수한 후 대부분 2학년 또는 3학년에 이수해야 할 과목이다."
문화 콘텐츠 산업 일반,전문교과Ⅱ,문화 산업 현장에서 요구하는 전문 인재를 키울 수 있도록 문화 콘텐츠 산업의 전반에 대한 기초적이고 기본적인 내용으로 구성되어 있는 기초 이론 과목이다.
영상 제작 기초,전문교과Ⅱ,이론과 실습을 통합한 과목으로서 영상 제작에 관한 기초적인 지식과 기능을 습득시켜 전공 분야에 활용할 수 있는 실무 능력을 기르는 과목이다.
제품 디자인,전문교과Ⅱ,"제품 디자이너와 모델러가 되는 데 필요한 이론과 직무 수행 능력을 기를 수 있는 내용으로 구성된 이론-실습 통합 과목이며 조형, 디자인 제도, 컴퓨터 그래픽 등 기초 과목을 이수한 후 디자인 리서치, 아이디어 발상, 구체화, 모형 제작 등을 중심으로 학습하는 디자인 실무 과목이다."
디자인 일반,전문교과Ⅱ,디자이너가 갖추어야 할 기본적인 지식과 기술을 습득하여 급변하는 산업과 다양한 디자인 분야에 적응할 수 있도록 내용이 구성된 이론 중심 과목이다.
컴퓨터 그래픽,전문교과Ⅱ,"그래픽 제작 원리를 익히고, 컴퓨터 그래픽 프로그램을 이용하여 단일 이미지와 동적인 이미지를 표현하여 디지털 인터페이스 디자인 등 디자인 실무에 적용할 수 있는 방법을 익힐 수 있도록 구성된 이론-실습 통합 과목이다."
미디어 콘텐츠 일반,전문교과Ⅱ,"문화 콘텐츠 관련 실무 과목의 선수 과목으로, 미디어 콘텐츠에 관한 지식과 기술을 습득하게 하여 다양한 문화 콘텐츠 개발 전문가로서의 능력을 기르도록 구성된 과목이다."
문화 콘텐츠 산업 일반,전문교과Ⅱ,문화 산업 현장에서 요구하는 전문 인재를 키울 수 있도록 문화 콘텐츠 산업의 전반에 대한 기초적이고 기본적인 내용으로 구성되어 있는 기초 이론 과목이다.
영상 제작 기초,전문교과Ⅱ,이론과 실습을 통합한 과목으로서 영상 제작에 관한 기초적인 지식과 기능을 습득시켜 전공 분야에 활용할 수 있는 실무 능력을 기르는 과목이다.
관광 일본어,전문교과Ⅱ,"외국인 관광객에게 다양한 정보와 서비스를 제공할 수 있도록 관광 여행 업무와 관련된 기본 용어, 일본어 회화 실무 및 안내/해설 능력을 기르는 데 도움을 주는 과목이다."
관광 중국어,전문교과Ⅱ,"외국인 관광객에게 다양한 정보와 서비스를 제공할 수 있도록 관광 여행 업무와 관련된 기본 용어, 중국어 회화 실무 및 안내/해설 능력을 기르는 데 도움을 주는 과목이다."
